"bike_name","start_time","end_time","start_lat","start_lng","end_lat","end_lng"
"K224856",1748210700,1748211780,50.9427,6.9584,50.9509,6.9186
"K224856",1748212560,1748213640,50.9509,6.9186,50.9636,6.9554
"K224856",1748214420,1748215500,50.9636,6.9554,50.9427,6.9584
"K224856",1748216280,1748217360,50.9427,6.9584,50.9319,6.9758
"K224856",1748218140,1748219220,50.9319,6.9758,50.9288,7.0027
"K224856",1748220000,1748221080,50.9288,7.0027,50.9319,6.9758
"K224856",1748221860,1748222940,50.9319,6.9758,50.9427,6.9584
"K224856",1748223720,1748224800,50.9427,6.9584,50.9499,6.9499
"K224856",1748225580,1748226660,50.9499,6.9499,50.9509,6.9186
"K224856",1748227440,1748228520,50.9509,6.9186,50.9550,6.9000
"K224856",1748229300,1748230380,50.9550,6.9000,50.9636,6.9554
"K224856",1748231160,1748232240,50.9636,6.9554,50.9499,6.9499
"K224856",1748233020,1748234100,50.9499,6.9499,50.9427,6.9584
"K224856",1748234880,1748235960,50.9427,6.9584,50.9068,6.9567
"K224856",1748236740,1748237820,50.9068,6.9567,50.9080,6.9430
"K224856",1748238600,1748239680,50.9080,6.9430,50.9161,6.9272
"K224856",1748240460,1748241540,50.9161,6.9272,50.9281,6.9044
"K224856",1748242320,1748243400,50.9281,6.9044,50.9350,6.8950
"K224856",1748244180,1748245260,50.9350,6.8950,50.9400,6.8900
"K224856",1748246040,1748247120,50.9400,6.8900,50.9509,6.9186
"K224856",1748247900,1748248980,50.9509,6.9186,50.9499,6.9499
"K224856",1748249760,1748250840,50.9499,6.9499,50.9600,7.0012
"K224856",1748251620,1748252700,50.9600,7.0012,50.9319,6.9758
"K224856",1748253480,1748254560,50.9319,6.9758,50.9288,7.0027
"K224856",1748255340,1748256420,50.9288,7.0027,50.9427,6.9584
"K224856",1748257200,1748258280,50.9427,6.9584,50.9383,6.9599
"K224856",1748259060,1748260140,50.9383,6.9599,50.9499,6.9499
"K224856",1748260920,1748262000,50.9499,6.9499,50.9636,6.9554
"K224856",1748262780,1748263860,50.9636,6.9554,50.9350,6.8950
"K224856",1748264640,1748265720,50.9350,6.8950,50.9509,6.9186
"K224856",1748266500,1748267580,50.9509,6.9186,50.9550,6.9000
"K224856",1748268360,1748269440,50.9550,6.9000,50.9427,6.9584
"K224856",1748270220,1748271300,50.9427,6.9584,50.9319,6.9758
"K224856",1748272080,1748273160,50.9319,6.9758,50.9600,7.0012
"K224856",1748273940,1748275020,50.9600,7.0012,50.9288,7.0027
"K224856",1748275800,1748276880,50.9288,7.0027,50.8997,6.9200
"K224856",1748277660,1748278740,50.8997,6.9200,50.9068,6.9567
"K224856",1748279520,1748280600,50.9068,6.9567,50.8997,6.9645
"K224856",1748281380,1748282460,50.8997,6.9645,50.9427,6.9584
"K224856",1748283240,1748284320,50.9427,6.9584,50.9499,6.9499
"K224856",1748285100,1748286180,50.9499,6.9499,50.9319,6.9758
"K224856",1748286960,1748288040,50.9319,6.9758,50.9509,6.9186
"K224856",1748288820,1748289900,50.9509,6.9186,50.9680,6.9170
"K224856",1748290680,1748291760,50.9680,6.9170,50.9636,6.9554
"K224856",1748292540,1748293620,50.9636,6.9554,50.9427,6.9584
